,count_LoRALoss,mean_LoRALoss,std_LoRALoss,min_LoRALoss,25%_LoRALoss,50%_LoRALoss,75%_LoRALoss,max_LoRALoss,name,index
StyleLoss,20.0,7137956224.0,1859273117.2962759,3614033920.0,6274186240.0,6925679872.0,8013882496.0,11730800640.0,AWPainting 1.1_v1.1.safetensors-LoRA-0,0
StyleLoss,20.0,7900502041.6,2962471534.3036327,2449038336.0,5594420480.0,7642042624.0,8899133184.0,15161723904.0,AWPainting 1.1_v1.1.safetensors-LoRA-1,1
StyleLoss,20.0,4923385369.6,3156140913.2965813,2588452352.0,3094388416.0,3572431744.0,4978827904.0,14663681024.0,AWPainting 1.1_v1.1.safetensors-LoRA-10,10
StyleLoss,20.0,2070772332.8,284029030.0818926,1736951424.0,1826022272.0,1978382464.0,2366497600.0,2582954752.0,AWPainting 1.1_v1.1.safetensors-LoRA-11,11
StyleLoss,20.0,3083873984.0,1090413008.4654675,1354936192.0,2129493664.0,3005065216.0,3819324544.0,4928495616.0,AWPainting 1.1_v1.1.safetensors-LoRA-12,12
StyleLoss,20.0,944043852.8,201293550.49274215,514542976.0,868331920.0,951917504.0,1055505168.0,1279445504.0,AWPainting 1.1_v1.1.safetensors-LoRA-13,13
StyleLoss,20.0,6632958694.4,1872712128.240262,4006549248.0,5199750528.0,6307721728.0,8252048384.0,10823273472.0,AWPainting 1.1_v1.1.safetensors-LoRA-14,14
StyleLoss,20.0,12447210444.8,1127917446.5982666,10305913856.0,11726795776.0,12142917120.0,12995148288.0,15251172352.0,AWPainting 1.1_v1.1.safetensors-LoRA-15,15
StyleLoss,20.0,4058255129.6,897181786.9631414,2230289408.0,3584150720.0,3884728960.0,4629693184.0,5588069376.0,AWPainting 1.1_v1.1.safetensors-LoRA-2,2
StyleLoss,20.0,5420164032.0,1168662440.6019263,3379985920.0,4637170048.0,5169684992.0,6329763584.0,8056106496.0,AWPainting 1.1_v1.1.safetensors-LoRA-3,3
StyleLoss,20.0,2282635270.4,523368698.94941306,1283653376.0,2095346368.0,2351866496.0,2606250624.0,3088654336.0,AWPainting 1.1_v1.1.safetensors-LoRA-4,4
StyleLoss,20.0,1431963724.8,386987723.58287024,910512640.0,1126294784.0,1435984320.0,1582572448.0,2292366592.0,AWPainting 1.1_v1.1.safetensors-LoRA-5,5
StyleLoss,20.0,4133231392.0,1322251700.9702287,2014461312.0,2942512128.0,4385672960.0,5178728576.0,5999737344.0,AWPainting 1.1_v1.1.safetensors-LoRA-6,6
StyleLoss,20.0,10089124300.8,5139781637.430721,5120984064.0,6891103232.0,9358809600.0,11803055616.0,29006934016.0,AWPainting 1.1_v1.1.safetensors-LoRA-7,7
StyleLoss,20.0,2156374137.6,837631799.4198915,944984576.0,1365216192.0,2213895552.0,2670536960.0,4078926592.0,AWPainting 1.1_v1.1.safetensors-LoRA-8,8
StyleLoss,20.0,809129187.2,109615263.56119293,633891840.0,740844544.0,808541216.0,893907232.0,969804224.0,AWPainting 1.1_v1.1.safetensors-LoRA-9,9
StyleLoss,20.0,8361789900.8,1828601507.8148632,5028609024.0,6987729920.0,8277757952.0,9361433600.0,11742125056.0,dreamshaper_7.safetensors-LoRA-0,0
StyleLoss,20.0,8665474521.6,3585004864.5082545,3370778112.0,5715911936.0,8438016512.0,11660646656.0,16001741824.0,dreamshaper_7.safetensors-LoRA-1,1
StyleLoss,20.0,36632009216.0,15148653820.491055,16124557312.0,20329496576.0,37289818112.0,47720759296.0,62523199488.0,dreamshaper_7.safetensors-LoRA-10,10
StyleLoss,20.0,1520101971.2,350536472.65356076,1027599232.0,1227165728.0,1534750144.0,1805336320.0,2049093120.0,dreamshaper_7.safetensors-LoRA-11,11
StyleLoss,20.0,1655964489.6,336560015.94569165,1067110080.0,1397164128.0,1649430912.0,1887990496.0,2421203968.0,dreamshaper_7.safetensors-LoRA-12,12
StyleLoss,20.0,589414222.4,199310413.03161383,364044992.0,487012280.0,530190928.0,632619264.0,1162745088.0,dreamshaper_7.safetensors-LoRA-13,13
StyleLoss,20.0,1208412156.8,338580416.9014714,627605056.0,1049764128.0,1186830336.0,1270287648.0,2006305536.0,dreamshaper_7.safetensors-LoRA-14,14
StyleLoss,20.0,11064794470.4,937315017.3862416,9893030912.0,10331200512.0,10775074816.0,11749093888.0,13031578624.0,dreamshaper_7.safetensors-LoRA-15,15
StyleLoss,20.0,2064347334.4,807483427.0343107,853568256.0,1485278240.0,1844382976.0,2753307136.0,4135581696.0,dreamshaper_7.safetensors-LoRA-2,2
StyleLoss,20.0,11568998220.8,2963667749.5202165,7675843584.0,9751995904.0,10802165760.0,13262272256.0,18226225152.0,dreamshaper_7.safetensors-LoRA-3,3
StyleLoss,20.0,749337017.6,397073248.6204524,256040640.0,489799384.0,625652416.0,956809568.0,1987125376.0,dreamshaper_7.safetensors-LoRA-4,4
StyleLoss,20.0,963548438.4,152700473.22188696,642520192.0,884333392.0,931766848.0,1034257008.0,1254808064.0,dreamshaper_7.safetensors-LoRA-5,5
StyleLoss,20.0,2060359264.0,975195677.4857177,1130372736.0,1491369248.0,1709275392.0,2209960064.0,4352102400.0,dreamshaper_7.safetensors-LoRA-6,6
StyleLoss,20.0,14202875136.0,5933590800.666376,8374220800.0,10806299136.0,12573654016.0,15879224064.0,34813124608.0,dreamshaper_7.safetensors-LoRA-7,7
StyleLoss,20.0,389671834.4,121790007.0330348,209233968.0,324443216.0,385282336.0,419489368.0,823419264.0,dreamshaper_7.safetensors-LoRA-8,8
StyleLoss,20.0,1835610816.0,242291364.50405642,1338715648.0,1619396736.0,1885262656.0,2003155904.0,2314645760.0,dreamshaper_7.safetensors-LoRA-9,9
StyleLoss,20.0,7902336102.4,2606228628.222272,4569115648.0,5697706368.0,7523488256.0,9316429568.0,13756127232.0,GhostMix-V2.0-fp16-NoVAE-LoRA-0,0
StyleLoss,20.0,8986978867.2,2973943690.091549,3057676800.0,6795676672.0,9020204032.0,10975289088.0,14772801536.0,GhostMix-V2.0-fp16-NoVAE-LoRA-1,1
StyleLoss,20.0,7348870617.6,5150185784.229919,1508178944.0,3600474112.0,6530283008.0,8713931008.0,21038012416.0,GhostMix-V2.0-fp16-NoVAE-LoRA-10,10
StyleLoss,20.0,2659688339.2,1333708007.6826315,1225094272.0,1576758592.0,2203152640.0,3710232512.0,5369881600.0,GhostMix-V2.0-fp16-NoVAE-LoRA-11,11
StyleLoss,20.0,3370953344.0,1401630133.9058366,937170944.0,2171413056.0,3777764224.0,4526514944.0,5480157184.0,GhostMix-V2.0-fp16-NoVAE-LoRA-12,12
StyleLoss,20.0,625305772.8,152982959.51222685,443938656.0,500573680.0,619913408.0,678336096.0,928842624.0,GhostMix-V2.0-fp16-NoVAE-LoRA-13,13
StyleLoss,20.0,2152043798.4,973056120.887025,1020176832.0,1601787264.0,1866806016.0,2482004032.0,5242217472.0,GhostMix-V2.0-fp16-NoVAE-LoRA-14,14
StyleLoss,20.0,9613321318.4,705016722.1832722,8715420672.0,9047363840.0,9492585472.0,9972172032.0,11601711104.0,GhostMix-V2.0-fp16-NoVAE-LoRA-15,15
StyleLoss,20.0,2626215622.4,955655620.2834858,1457579904.0,1849043712.0,2252250880.0,3201334528.0,4477552128.0,GhostMix-V2.0-fp16-NoVAE-LoRA-2,2
StyleLoss,20.0,5437324044.8,960420218.2940252,3690593024.0,4803411840.0,5460046080.0,5770965632.0,7541683712.0,GhostMix-V2.0-fp16-NoVAE-LoRA-3,3
StyleLoss,20.0,996363036.8,451105799.7584373,392860736.0,714793152.0,972206432.0,1081439296.0,2406687232.0,GhostMix-V2.0-fp16-NoVAE-LoRA-4,4
StyleLoss,20.0,771958883.2,234051211.79970607,544386496.0,646534784.0,744814656.0,821351456.0,1649258368.0,GhostMix-V2.0-fp16-NoVAE-LoRA-5,5
StyleLoss,20.0,2625221254.4,1125226831.3314154,1097189888.0,1864287872.0,2344563072.0,3323870720.0,4876332032.0,GhostMix-V2.0-fp16-NoVAE-LoRA-6,6
StyleLoss,20.0,11904604825.6,4836082747.651353,6292422656.0,8495707520.0,9759386624.0,14189252608.0,23705448448.0,GhostMix-V2.0-fp16-NoVAE-LoRA-7,7
StyleLoss,20.0,914040371.2,443963207.8000699,282360384.0,689834192.0,817550080.0,1063794864.0,2323989248.0,GhostMix-V2.0-fp16-NoVAE-LoRA-8,8
StyleLoss,20.0,941509689.6,148349121.92260852,607920896.0,845107760.0,947638208.0,1044983024.0,1214820096.0,GhostMix-V2.0-fp16-NoVAE-LoRA-9,9
