Image,StyleLoss,name,index
"00000-1-(anime_1.3),1girl,white background,portrait.png",4024746928.0,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00001-2-(anime_1.3),1girl,white background,portrait.png",4207806323.2,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00002-3-(anime_1.3),1girl,white background,portrait.png",4261437865.6,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00003-4-(anime_1.3),1girl,white background,portrait.png",5803840441.6,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00004-5-(anime_1.3),1girl,white background,portrait.png",3924030083.2,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00005-6-(anime_1.3),1girl,white background,portrait.png",4477731865.6,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00006-7-(anime_1.3),1girl,white background,portrait.png",4214138848.0,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00007-8-(anime_1.3),1girl,white background,portrait.png",4167768169.6,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00008-9-(anime_1.3),1girl,white background,portrait.png",4819190278.4,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00009-10-(anime_1.3),1girl,white background,portrait.png",6040089036.8,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00010-11-(anime_1.3),1girl,white background,portrait.png",4585015670.4,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00011-12-(anime_1.3),1girl,white background,portrait.png",3529965264.0,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00012-13-(anime_1.3),1girl,white background,portrait.png",3938430364.8,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00013-14-(anime_1.3),1girl,white background,portrait.png",5015743686.4,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00014-15-(anime_1.3),1girl,white background,portrait.png",4262524316.8,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00015-16-(anime_1.3),1girl,white background,portrait.png",4207472355.2,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00016-17-(anime_1.3),1girl,white background,portrait.png",4531120396.8,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00017-18-(anime_1.3),1girl,white background,portrait.png",5978912179.2,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00018-19-(anime_1.3),1girl,white background,portrait.png",4778025606.4,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00019-20-(anime_1.3),1girl,white background,portrait.png",4220014723.2,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00020-21-(anime_1.3),1girl,white background,portrait.png",3826617497.6,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00021-22-(anime_1.3),1girl,white background,portrait.png",4034090982.4,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00022-23-(anime_1.3),1girl,white background,portrait.png",4199279529.6,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00023-24-(anime_1.3),1girl,white background,portrait.png",3943778716.8,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00024-25-(anime_1.3),1girl,white background,portrait.png",4506422105.6,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00025-26-(anime_1.3),1girl,white background,portrait.png",3876120924.8,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00026-27-(anime_1.3),1girl,white background,portrait.png",4197341587.2,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00027-28-(anime_1.3),1girl,white background,portrait.png",4484191728.0,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00028-29-(anime_1.3),1girl,white background,portrait.png",4634794844.8,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00029-30-(anime_1.3),1girl,white background,portrait.png",3696611264.0,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00030-31-(anime_1.3),1girl,white background,portrait.png",4707008672.0,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00031-32-(anime_1.3),1girl,white background,portrait.png",3894625622.4,AWPainting 1.1_v1.1.safetensors-Style-0,0
"00000-1-(manga,outlines_1.3),1girl,white background,portrait.png",10103010163.612904,AWPainting 1.1_v1.1.safetensors-Style-1,1
"00001-2-(manga,outlines_1.3),1girl,white background,portrait.png",9576943508.64516,AWPainting 1.1_v1.1.safetensors-Style-1,1
"00002-3-(manga,outlines_1.3),1girl,white background,portrait.png",10781796558.451612,AWPainting 1.1_v1.1.safetensors-Style-1,1
"00003-4-(manga,outlines_1.3),1girl,white background,portrait.png",8446893625.806452,AWPainting 1.1_v1.1.safetensors-Style-1,1
"00004-5-(manga,outlines_1.3),1girl,white background,portrait.png",9916751170.064516,AWPainting 1.1_v1.1.safetensors-Style-1,1
"00005-6-(manga,outlines_1.3),1girl,white background,portrait.png",11009932659.612904,AWPainting 1.1_v1.1.safetensors-Style-1,1
"00006-7-(manga,outlines_1.3),1girl,white background,portrait.png",8247448320.0,AWPainting 1.1_v1.1.safetensors-Style-1,1
"00007-8-(manga,outlines_1.3),1girl,white background,portrait.png",8638869949.935484,AWPainting 1.1_v1.1.safetensors-Style-1,1
"00008-9-(manga,outlines_1.3),1girl,white background,portrait.png",8727851800.774193,AWPainting 1.1_v1.1.safetensors-Style-1,1
"00009-10-(manga,outlines_1.3),1girl,white background,portrait.png",11623931458.064516,AWPainting 1.1_v1.1.safetensors-Style-1,1
