,Unnamed: 0,count_LAIONScore,mean_LAIONScore,std_LAIONScore,min_LAIONScore,25%_LAIONScore,50%_LAIONScore,75%_LAIONScore,max_LAIONScore,skew_LAIONScore,kurtosis_LAIONScore,RatingScore_mean,RatingScore_std,Clipscore_mean,Clipscore_std,Artifact_mean,Artifact_std,name
0,LAIONScore,32.0,7.029963315,0.11605293,6.868469715,6.941821575,7.008264065,7.099725127,7.333669662,0.682160892,-0.097327091,7.781714857,0.331826782,0.315956116,0.009326825,2.048337575,0.176344291,dreamshaper_7.safetensors-0
1,LAIONScore,32.0,6.921114922,0.155838161,6.567234516,6.824428558,6.864958525,7.041681886,7.275580406,0.292614339,-0.225872748,6.956618533,0.419615228,0.333023071,0.016748556,2.167099118,0.177993687,dreamshaper_7.safetensors-1
2,LAIONScore,32.0,6.602392673,0.136666625,6.364408493,6.524067879,6.604893208,6.650447249,7.151420593,1.852891006,6.343078636,7.452846974,0.334646518,0.313720703,0.009634086,2.68533852,0.177100632,dreamshaper_7.safetensors-10
3,LAIONScore,32.0,6.314538404,0.164766892,5.860672474,6.216854453,6.336564302,6.39675355,6.62784481,-0.471997618,0.723655346,5.866724685,0.668215382,0.249000549,0.010763816,2.917317234,0.305320141,dreamshaper_7.safetensors-11
4,LAIONScore,32.0,6.883835986,0.165795077,6.540748596,6.826778293,6.869988203,6.985420942,7.252743721,0.086793931,0.23914679,9.205224082,0.706338419,0.257900238,0.023323642,0.573911675,0.382439514,dreamshaper_7.safetensors-12
5,LAIONScore,32.0,6.797134593,0.205096274,6.328478336,6.716364384,6.817853212,6.901473284,7.136766434,-0.415975603,-0.08667582,7.569100842,0.709683557,0.256374359,0.013469622,1.925528847,0.355167587,dreamshaper_7.safetensors-13
6,LAIONScore,32.0,7.080652297,0.163219249,6.620023727,6.965661168,7.074803591,7.212506413,7.306864262,-0.658639139,0.04566261,8.265291527,0.471643786,0.302017212,0.01594688,1.753524829,0.280803199,dreamshaper_7.safetensors-14
7,LAIONScore,32.0,6.916056737,0.175685493,6.415598869,6.809521317,6.924574137,7.039014935,7.307498932,-0.404879924,0.838583472,7.857066453,0.510579777,0.26650238,0.012725078,1.818364669,0.303208572,dreamshaper_7.safetensors-15
8,LAIONScore,32.0,7.056858167,0.21202918,6.312184334,6.943914056,7.072604656,7.191892505,7.356732845,-1.43607324,3.056783671,7.599461287,0.793644651,0.296485901,0.019806624,1.978129655,0.428896504,dreamshaper_7.safetensors-16
9,LAIONScore,32.0,7.165085226,0.139500943,6.936943531,7.06767261,7.13714695,7.21865654,7.591071606,0.970754402,1.085515692,7.016496465,0.376056028,0.340499878,0.009762275,1.92695006,0.205062122,dreamshaper_7.safetensors-17
10,LAIONScore,32.0,7.14368251,0.125352422,6.847486973,7.079556823,7.142389297,7.203426123,7.431569576,-0.011095188,0.333247959,8.172576308,0.4878919,0.339851379,0.010711189,1.93489784,0.237184554,dreamshaper_7.safetensors-18
11,LAIONScore,32.0,6.783240288,0.43545892,6.01121664,6.392224431,6.88715601,7.079771161,7.457154751,-0.531595185,-1.017764774,6.699995622,1.22805559,0.27154541,0.027919982,1.985774979,0.547560416,dreamshaper_7.safetensors-19
12,LAIONScore,32.0,7.031894535,0.142525186,6.560335636,6.985877991,7.018228531,7.129804969,7.264262199,-1.009119596,2.050743353,8.043181822,0.471589657,0.24679184,0.008964963,1.57685693,0.207577565,dreamshaper_7.safetensors-2
13,LAIONScore,32.0,7.137490928,0.147192733,6.874570847,7.019530058,7.152128935,7.246887445,7.388328552,-0.034761257,-0.997579977,8.308996022,0.416447347,0.279094696,0.015280399,1.600549318,0.232507568,dreamshaper_7.safetensors-20
14,LAIONScore,32.0,7.094523862,0.154602145,6.824861526,6.994487762,7.067940712,7.179935932,7.385062695,0.287397674,-0.571654814,8.268249303,0.34339417,0.2943573,0.014885002,1.716983937,0.232865791,dreamshaper_7.safetensors-21
15,LAIONScore,32.0,6.903322995,0.23195294,6.443835258,6.783581257,6.943933249,7.006852627,7.424684048,-0.12843875,-0.15436041,8.609070748,0.611267895,0.264461517,0.030346827,1.042487484,0.42558999,dreamshaper_7.safetensors-22
16,LAIONScore,32.0,6.48133117,0.38150947,5.582157612,6.198304057,6.566399336,6.724267483,7.129696846,-0.486861578,-0.203033984,6.252843603,0.713230348,0.257766724,0.031920508,2.395440251,0.314674813,dreamshaper_7.safetensors-23
17,LAIONScore,32.0,6.948557377,0.463094411,5.603919983,6.80552578,7.106945276,7.238749146,7.423061371,-1.81930806,2.596182015,7.216773584,0.552393181,0.295467377,0.021170776,1.737518132,0.209975749,dreamshaper_7.safetensors-24
18,LAIONScore,32.0,6.757936567,0.223562644,6.221806049,6.619300842,6.781995058,6.88536191,7.163470745,-0.293751169,-0.367886669,8.260354057,0.566717928,0.347816467,0.015368334,1.634008035,0.365643038,dreamshaper_7.safetensors-25
19,LAIONScore,32.0,7.120339379,0.172984811,6.751866817,7.042445302,7.135973454,7.20135653,7.476937294,-0.253808245,0.011943845,8.346945405,0.521545711,0.286994934,0.014418383,1.92682058,0.297283536,dreamshaper_7.safetensors-26
20,LAIONScore,32.0,7.248256207,0.178812361,6.754340649,7.182876229,7.266297102,7.382744908,7.506990433,-1.08856123,1.046019911,8.336283252,0.57654337,0.277809143,0.008162379,1.736111291,0.352555289,dreamshaper_7.safetensors-27
21,LAIONScore,32.0,7.067122638,0.128089386,6.812400818,7.016128302,7.09218955,7.159937024,7.350119591,-0.399358861,-0.245986121,8.624679789,0.378545118,0.337890625,0.013884928,1.601326779,0.187799649,dreamshaper_7.safetensors-28
22,LAIONScore,32.0,7.151583284,0.21203514,6.687506676,7.02953279,7.122075081,7.313099861,7.683959007,0.110742157,0.184799313,7.900796264,0.359782941,0.287563324,0.01687573,1.70609526,0.188426825,dreamshaper_7.safetensors-29
