,index,Skip,Prompts,Style,sd_model_checkpoint
0,0,True,"(anime:1.3),1girl,white background,portrait",Anime,GhostMix-V2.0-fp16-NoVAE
1,1,True,"(manga,outlines:1.3),1girl,white background,portrait",Manga,GhostMix-V2.0-fp16-NoVAE
2,2,True,"(photorealistic,realistic:1.3),1girl,white background,portrait",Photographic,GhostMix-V2.0-fp16-NoVAE
3,3,True,"(isometric art style:1.3),building, white background,",Isometric,GhostMix-V2.0-fp16-NoVAE
4,4,True,"(low poly art style:1.3),dog,white background",Low Poly,GhostMix-V2.0-fp16-NoVAE
5,5,True,"(lineart art style:1.3),1girl,white background,portrait",Line Art,GhostMix-V2.0-fp16-NoVAE
6,6,True,"(3D:1.3),1girl,white background,portrait,dress",3D,GhostMix-V2.0-fp16-NoVAE
7,7,True,"(pixel art style:1.3),1girl,white background,portrait,",Pixel Art,GhostMix-V2.0-fp16-NoVAE
8,8,True,"(watercolor art style:1.3),1girl,white background,portrait,",Watercolor,GhostMix-V2.0-fp16-NoVAE
9,0,True,"(anime:1.3),1girl,white background,portrait",Anime,AWPainting 1.1_v1.1.safetensors
10,1,True,"(manga,outlines:1.3),1girl,white background,portrait",Manga,AWPainting 1.1_v1.1.safetensors
11,2,True,"(photorealistic,realistic:1.3),1girl,white background,portrait",Photographic,AWPainting 1.1_v1.1.safetensors
12,3,True,"(isometric art style:1.3),building, white background,",Isometric,AWPainting 1.1_v1.1.safetensors
13,4,True,"(low poly art style:1.3),dog,white background",Low Poly,AWPainting 1.1_v1.1.safetensors
14,5,True,"(lineart art style:1.3),1girl,white background,portrait",Line Art,AWPainting 1.1_v1.1.safetensors
15,6,True,"(3D:1.3),1girl,white background,portrait,dress",3D,AWPainting 1.1_v1.1.safetensors
16,7,True,"(pixel art style:1.3),1girl,white background,portrait,",Pixel Art,AWPainting 1.1_v1.1.safetensors
17,8,True,"(watercolor art style:1.3),1girl,white background,portrait,",Watercolor,AWPainting 1.1_v1.1.safetensors
18,0,True,"(anime:1.3),1girl,white background,portrait",Anime,majicmixRealistic_v6.safetensors
19,1,True,"(manga,outlines:1.3),1girl,white background,portrait",Manga,majicmixRealistic_v6.safetensors
20,2,True,"(photorealistic,realistic:1.3),1girl,white background,portrait",Photographic,majicmixRealistic_v6.safetensors
21,3,True,"(isometric art style:1.3),building, white background,",Isometric,majicmixRealistic_v6.safetensors
