,StyleLoss,ImageIndex
0,3525862400.0,"00000-1-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
1,3652362752.0,"00001-2-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
2,5280611840.0,"00002-3-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
3,3723000320.0,"00003-4-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
4,3647654912.0,"00004-5-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
5,5588069376.0,"00005-6-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
6,4437498880.0,"00006-7-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
7,2852973824.0,"00007-8-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
8,3209430528.0,"00008-9-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
9,5018891776.0,"00009-10-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
10,3246468352.0,"00010-11-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
11,5384465920.0,"00011-12-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
12,2230289408.0,"00012-13-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
13,3997856256.0,"00013-14-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
14,4023374848.0,"00014-15-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
15,5138417152.0,"00015-16-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
16,3771601664.0,"00016-17-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
17,4499960320.0,"00017-18-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
18,4332731904.0,"00018-19-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
19,3603580160.0,"00019-20-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
