,StyleLoss,ImageIndex
0,10711468032.0,"00000-1-closeup, a family portrait, momn, dad, kitchen in the background.png"
1,10721486848.0,"00001-2-closeup, a family portrait, momn, dad, kitchen in the background.png"
2,12435764224.0,"00002-3-closeup, a family portrait, momn, dad, kitchen in the background.png"
3,13031578624.0,"00003-4-closeup, a family portrait, momn, dad, kitchen in the background.png"
4,12424109056.0,"00004-5-closeup, a family portrait, momn, dad, kitchen in the background.png"
5,11702228992.0,"00005-6-closeup, a family portrait, momn, dad, kitchen in the background.png"
6,11592990720.0,"00006-7-closeup, a family portrait, momn, dad, kitchen in the background.png"
7,11214142464.0,"00007-8-closeup, a family portrait, momn, dad, kitchen in the background.png"
8,10828662784.0,"00008-9-closeup, a family portrait, momn, dad, kitchen in the background.png"
9,10122571776.0,"00009-10-closeup, a family portrait, momn, dad, kitchen in the background.png"
10,10239790080.0,"00010-11-closeup, a family portrait, momn, dad, kitchen in the background.png"
11,11096087552.0,"00011-12-closeup, a family portrait, momn, dad, kitchen in the background.png"
12,10502651904.0,"00012-13-closeup, a family portrait, momn, dad, kitchen in the background.png"
13,10361670656.0,"00013-14-closeup, a family portrait, momn, dad, kitchen in the background.png"
14,9934269440.0,"00014-15-closeup, a family portrait, momn, dad, kitchen in the background.png"
15,12063300608.0,"00015-16-closeup, a family portrait, momn, dad, kitchen in the background.png"
16,11889688576.0,"00016-17-closeup, a family portrait, momn, dad, kitchen in the background.png"
17,10493173760.0,"00017-18-closeup, a family portrait, momn, dad, kitchen in the background.png"
18,10037222400.0,"00018-19-closeup, a family portrait, momn, dad, kitchen in the background.png"
19,9893030912.0,"00019-20-closeup, a family portrait, momn, dad, kitchen in the background.png"
