,StyleLoss,ImageIndex
0,4677812224.0,"00000-1-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png"
1,4858824192.0,"00001-2-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png"
2,3576983552.0,"00002-3-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png"
3,3582051072.0,"00003-4-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png"
4,4834831872.0,"00004-5-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png"
5,4602144256.0,"00005-6-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png"
6,3583574016.0,"00006-7-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png"
7,2917961216.0,"00007-8-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png"
8,3737808896.0,"00008-9-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png"
9,4562000384.0,"00009-10-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png"
10,5396728832.0,"00010-11-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png"
11,4131292416.0,"00011-12-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png"
12,3537937408.0,"00012-13-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png"
13,3810232832.0,"00013-14-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png"
14,4821409792.0,"00014-15-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png"
15,3054881024.0,"00015-16-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png"
16,4495232000.0,"00016-17-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png"
17,4253620992.0,"00017-18-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png"
18,3185344512.0,"00018-19-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png"
19,3847184128.0,"00019-20-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png"
