,StyleLoss,ImageIndex
0,1785165312.0,"00000-1-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
1,1832561664.0,"00001-2-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
2,1297152128.0,"00002-3-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
3,834905216.0,"00003-4-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
4,1663558784.0,"00004-5-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
5,1516256384.0,"00005-6-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
6,1059428416.0,"00006-7-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
7,1063863168.0,"00007-8-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
8,1215725696.0,"00008-9-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
9,954074560.0,"00009-10-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
10,1630074624.0,"00010-11-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
11,1910892800.0,"00011-12-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
12,967232640.0,"00012-13-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
13,1143234816.0,"00013-14-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
14,1471804032.0,"00014-15-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
15,1240411520.0,"00015-16-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
16,1530148480.0,"00016-17-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
17,1234013568.0,"00017-18-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
18,1195536000.0,"00018-19-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
19,920836032.0,"00019-20-(masterpiece),(best quality),(ultra-detailed), (full body_1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing g.png"
