,StyleLoss,Image,TargetImage
0,5737249280.0,"00000-1-(anime_1.3),1girl,white background,portrait.png",anime (1).jpg
1,3792118272.0,"00000-1-(anime_1.3),1girl,white background,portrait.png",anime (10).jpg
2,3117693184.0,"00000-1-(anime_1.3),1girl,white background,portrait.png",anime (11).jpg
3,2896203008.0,"00000-1-(anime_1.3),1girl,white background,portrait.png",anime (12).jpg
4,4088610560.0,"00000-1-(anime_1.3),1girl,white background,portrait.png",anime (13).jpg
5,4441414144.0,"00000-1-(anime_1.3),1girl,white background,portrait.png",anime (14).jpg
6,5858899456.0,"00000-1-(anime_1.3),1girl,white background,portrait.png",anime (15).jpg
7,3077312000.0,"00000-1-(anime_1.3),1girl,white background,portrait.png",anime (16).jpg
8,3259128832.0,"00000-1-(anime_1.3),1girl,white background,portrait.png",anime (17).jpg
9,2931000832.0,"00000-1-(anime_1.3),1girl,white background,portrait.png",anime (18).jpg
10,2408055296.0,"00000-1-(anime_1.3),1girl,white background,portrait.png",anime (19).jpg
11,3439795712.0,"00000-1-(anime_1.3),1girl,white background,portrait.png",anime (2).jpg
12,2829468160.0,"00000-1-(anime_1.3),1girl,white background,portrait.png",anime (20).jpg
13,5290437632.0,"00000-1-(anime_1.3),1girl,white background,portrait.png",anime (21).jpg
14,4063301376.0,"00000-1-(anime_1.3),1girl,white background,portrait.png",anime (22).jpg
15,2350935552.0,"00000-1-(anime_1.3),1girl,white background,portrait.png",anime (23).jpg
16,3314166784.0,"00000-1-(anime_1.3),1girl,white background,portrait.png",anime (24).jpg
17,1717847808.0,"00000-1-(anime_1.3),1girl,white background,portrait.png",anime (25).jpg
18,2280688640.0,"00000-1-(anime_1.3),1girl,white background,portrait.png",anime (26).jpg
19,3392677888.0,"00000-1-(anime_1.3),1girl,white background,portrait.png",anime (27).jpg
20,2926816512.0,"00000-1-(anime_1.3),1girl,white background,portrait.png",anime (28).jpg
21,5054561280.0,"00000-1-(anime_1.3),1girl,white background,portrait.png",anime (29).jpg
22,2365177856.0,"00000-1-(anime_1.3),1girl,white background,portrait.png",anime (3).jpg
23,4326886912.0,"00000-1-(anime_1.3),1girl,white background,portrait.png",anime (30).jpg
24,4875701248.0,"00000-1-(anime_1.3),1girl,white background,portrait.png",anime (31).jpg
25,5080853504.0,"00000-1-(anime_1.3),1girl,white background,portrait.png",anime (32).jpg
26,4168694784.0,"00000-1-(anime_1.3),1girl,white background,portrait.png",anime (33).jpg
