,StyleLoss,Image,TargetImage
0,7946638336.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (1).jpg
1,11699106816.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (10).jpg
2,10823653376.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (11).jpg
3,8875683840.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (12).jpg
4,17425051648.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (14).jpg
5,11618238464.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (15).jpg
6,13978319872.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (16).jpg
7,9665263616.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (17).jpg
8,28985255936.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (18).jpg
9,17544409088.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (19).jpg
10,18998884352.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (2).jpg
11,6554522112.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (20).jpg
12,19147517952.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (3).jpg
13,32240357376.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (4).jpg
14,7519275008.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (5).jpg
15,8118974976.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (6).jpg
16,101772206080.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (7).jpg
17,29813250048.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (8).jpg
18,28151529472.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (9).jpg
19,15319671808.0,"00001-2-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (1).jpg
20,20559140864.0,"00001-2-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (10).jpg
21,20866664448.0,"00001-2-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (11).jpg
22,17345751040.0,"00001-2-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (12).jpg
23,24617940992.0,"00001-2-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (14).jpg
24,14592220160.0,"00001-2-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (15).jpg
25,18658969600.0,"00001-2-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (16).jpg
26,19609124864.0,"00001-2-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (17).jpg
27,30469353472.0,"00001-2-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (18).jpg
28,20917258240.0,"00001-2-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (19).jpg
29,25344595968.0,"00001-2-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (2).jpg
30,13890473984.0,"00001-2-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (20).jpg
31,22362722304.0,"00001-2-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (3).jpg
32,31350476800.0,"00001-2-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (4).jpg
33,17116284928.0,"00001-2-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (5).jpg
34,15079173120.0,"00001-2-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (6).jpg
35,99373088768.0,"00001-2-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (7).jpg
36,31270123520.0,"00001-2-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (8).jpg
37,25256970240.0,"00001-2-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (9).jpg
38,9776879616.0,"00002-3-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (1).jpg
39,11636909056.0,"00002-3-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (10).jpg
40,8217701376.0,"00002-3-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (11).jpg
41,7715427840.0,"00002-3-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (12).jpg
42,20652763136.0,"00002-3-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (14).jpg
43,12414822400.0,"00002-3-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (15).jpg
44,14635283456.0,"00002-3-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (16).jpg
45,12973883392.0,"00002-3-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (17).jpg
46,34205730816.0,"00002-3-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (18).jpg
47,17496193024.0,"00002-3-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (19).jpg
48,21372327936.0,"00002-3-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (2).jpg
49,5344664064.0,"00002-3-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (20).jpg
50,22758189056.0,"00002-3-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (3).jpg
51,39913578496.0,"00002-3-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (4).jpg
52,8491458560.0,"00002-3-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (5).jpg
53,9513417728.0,"00002-3-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (6).jpg
54,115390554112.0,"00002-3-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (7).jpg
55,29104343040.0,"00002-3-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (8).jpg
56,29515448320.0,"00002-3-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (9).jpg
57,11966596096.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (1).jpg
58,16321468416.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (10).jpg
59,19195652096.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (11).jpg
60,14793017344.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (12).jpg
61,19427100672.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (14).jpg
62,11239872512.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (15).jpg
63,14234870784.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (16).jpg
64,15861656576.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (17).jpg
65,22743836672.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (18).jpg
66,17575788544.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (19).jpg
67,18463666176.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (2).jpg
68,11915744256.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (20).jpg
69,16124265472.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (3).jpg
70,24536590336.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (4).jpg
71,12305245184.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (5).jpg
72,10452245504.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (6).jpg
73,87423393792.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (7).jpg
74,25717921792.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (8).jpg
75,22135269376.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (9).jpg
76,11559252992.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (1).jpg
77,15472683008.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (10).jpg
78,15004455936.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (11).jpg
79,12357222400.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (12).jpg
80,20792780800.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (14).jpg
81,12033009664.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (15).jpg
82,15139219456.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (16).jpg
83,15288336384.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (17).jpg
84,28826505216.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (18).jpg
85,17794373632.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (19).jpg
86,21311234048.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (2).jpg
87,9473810432.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (20).jpg
88,20203589632.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (3).jpg
89,31459409920.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (4).jpg
90,11789870080.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (5).jpg
91,10875124736.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (6).jpg
92,100363476992.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (7).jpg
93,28379936768.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (8).jpg
94,25261268992.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (9).jpg
95,9335094272.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (1).jpg
96,10960318464.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (10).jpg
97,6249135104.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (11).jpg
98,6406759936.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (12).jpg
99,19196481536.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (14).jpg
100,13451341824.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (15).jpg
101,15007804416.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (16).jpg
102,10871713792.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (17).jpg
103,36580233216.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (18).jpg
104,18214725632.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (19).jpg
105,21381427200.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (2).jpg
106,4814069760.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (20).jpg
107,24651837440.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (3).jpg
108,43576156160.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (4).jpg
109,7334837248.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (5).jpg
110,9192109056.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (6).jpg
111,120382095360.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (7).jpg
112,30550376448.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (8).jpg
113,32530178048.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (9).jpg
114,18772934656.0,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (1).jpg
115,26402588672.0,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (10).jpg
116,29331521536.0,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (11).jpg
117,24343306240.0,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (12).jpg
118,28417521664.0,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (14).jpg
119,19653332992.0,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (15).jpg
120,24123394048.0,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (16).jpg
121,23890624512.0,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (17).jpg
122,29841954816.0,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (18).jpg
123,27768365056.0,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (19).jpg
124,28241727488.0,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (2).jpg
125,19703443456.0,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (20).jpg
126,23373176832.0,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (3).jpg
127,28550975488.0,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (4).jpg
128,21953593344.0,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (5).jpg
129,19368726528.0,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (6).jpg
130,90989600768.0,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (7).jpg
131,37256232960.0,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (8).jpg
132,28323461120.0,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (9).jpg
133,8463427584.0,"00007-8-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (1).jpg
134,13007942656.0,"00007-8-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (10).jpg
135,14469156864.0,"00007-8-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (11).jpg
136,10980012032.0,"00007-8-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (12).jpg
137,17345251328.0,"00007-8-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (14).jpg
138,10740566016.0,"00007-8-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (15).jpg
139,13736507392.0,"00007-8-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (16).jpg
140,13072120832.0,"00007-8-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (17).jpg
