,StyleLoss,Image,TargetImage
0,1023748224.0,"00000-1-(3D_1.3),1girl,white background,portrait,dress.png",3D (1).jpg
1,557109184.0,"00000-1-(3D_1.3),1girl,white background,portrait,dress.png",3D (10).jpg
2,7809491968.0,"00000-1-(3D_1.3),1girl,white background,portrait,dress.png",3D (11).jpg
3,1174789120.0,"00000-1-(3D_1.3),1girl,white background,portrait,dress.png",3D (12).jpg
4,1019745280.0,"00000-1-(3D_1.3),1girl,white background,portrait,dress.png",3D (13).jpg
5,5476951040.0,"00000-1-(3D_1.3),1girl,white background,portrait,dress.png",3D (14).jpg
6,3457708032.0,"00000-1-(3D_1.3),1girl,white background,portrait,dress.png",3D (15).jpg
7,3959330816.0,"00000-1-(3D_1.3),1girl,white background,portrait,dress.png",3D (16).jpg
8,5487297536.0,"00000-1-(3D_1.3),1girl,white background,portrait,dress.png",3D (17).jpg
9,5907133440.0,"00000-1-(3D_1.3),1girl,white background,portrait,dress.png",3D (18).jpg
10,5002337792.0,"00000-1-(3D_1.3),1girl,white background,portrait,dress.png",3D (19).jpg
11,960803648.0,"00000-1-(3D_1.3),1girl,white background,portrait,dress.png",3D (2).jpg
12,3455840256.0,"00000-1-(3D_1.3),1girl,white background,portrait,dress.png",3D (20).jpg
13,3419758336.0,"00000-1-(3D_1.3),1girl,white background,portrait,dress.png",3D (21).jpg
14,3083702016.0,"00000-1-(3D_1.3),1girl,white background,portrait,dress.png",3D (22).jpg
15,1083724288.0,"00000-1-(3D_1.3),1girl,white background,portrait,dress.png",3D (23).jpg
16,10241479680.0,"00000-1-(3D_1.3),1girl,white background,portrait,dress.png",3D (24).jpg
17,3512805120.0,"00000-1-(3D_1.3),1girl,white background,portrait,dress.png",3D (25).jpg
18,1411529344.0,"00000-1-(3D_1.3),1girl,white background,portrait,dress.png",3D (26).jpg
19,6740279808.0,"00000-1-(3D_1.3),1girl,white background,portrait,dress.png",3D (27).jpg
20,3740793600.0,"00000-1-(3D_1.3),1girl,white background,portrait,dress.png",3D (28).jpg
21,934705536.0,"00000-1-(3D_1.3),1girl,white background,portrait,dress.png",3D (3).jpg
22,717787776.0,"00000-1-(3D_1.3),1girl,white background,portrait,dress.png",3D (4).jpg
23,2870426368.0,"00000-1-(3D_1.3),1girl,white background,portrait,dress.png",3D (5).jpg
24,5257418752.0,"00000-1-(3D_1.3),1girl,white background,portrait,dress.png",3D (6).jpg
25,891750784.0,"00000-1-(3D_1.3),1girl,white background,portrait,dress.png",3D (7).jpg
26,7218533888.0,"00000-1-(3D_1.3),1girl,white background,portrait,dress.png",3D (8).jpg
27,1425649280.0,"00000-1-(3D_1.3),1girl,white background,portrait,dress.png",3D (9).jpg
28,875775744.0,"00001-2-(3D_1.3),1girl,white background,portrait,dress.png",3D (1).jpg
29,722936960.0,"00001-2-(3D_1.3),1girl,white background,portrait,dress.png",3D (10).jpg
30,7161846784.0,"00001-2-(3D_1.3),1girl,white background,portrait,dress.png",3D (11).jpg
31,881958784.0,"00001-2-(3D_1.3),1girl,white background,portrait,dress.png",3D (12).jpg
32,916395264.0,"00001-2-(3D_1.3),1girl,white background,portrait,dress.png",3D (13).jpg
33,4931745280.0,"00001-2-(3D_1.3),1girl,white background,portrait,dress.png",3D (14).jpg
34,3076907264.0,"00001-2-(3D_1.3),1girl,white background,portrait,dress.png",3D (15).jpg
