,StyleLoss,Image,TargetImage
0,7122099200.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (1).jpg
1,8259527168.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (10).jpg
2,5907826688.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (11).jpg
3,5056800256.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (12).jpg
4,16025934848.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (14).jpg
5,10593185792.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (15).jpg
6,12502641664.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (16).jpg
7,9874758656.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (17).jpg
8,30213050368.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (18).jpg
9,15199326208.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (19).jpg
10,16955807744.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (2).jpg
11,3893179392.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (20).jpg
12,18993543168.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (3).jpg
13,35532419072.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (4).jpg
14,5177807360.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (5).jpg
15,6107996672.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (6).jpg
16,106775478272.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (7).jpg
17,26748583936.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (8).jpg
18,28540372992.0,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (9).jpg
19,10507737088.0,"00001-2-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (1).jpg
20,11001778176.0,"00001-2-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (10).jpg
