,StyleLoss,Image,TargetImage
0,6494203904.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (1).jpg
1,9217990656.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (10).jpg
2,39037517824.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (11).jpg
3,5175062528.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (12).jpg
4,5208446464.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (14).jpg
5,12427602944.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (15).jpg
6,35367559168.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (2).jpg
7,6903209984.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (20).jpg
8,17062374400.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (21).jpg
9,19037550592.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (22).jpg
10,7426672640.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (23).jpg
11,3836490496.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (24).jpg
12,6558065152.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (25).jpg
13,6241093632.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (26).jpg
14,4734277120.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (27).jpg
15,4760277504.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (28).jpg
16,5587196928.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (29).jpg
17,5461337088.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (30).jpg
18,2805425152.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (31).jpg
19,4836523008.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (32).jpg
20,6570716160.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (33).jpg
21,3501500416.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (34).jpg
22,13211716608.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (35).jpg
23,16299120640.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (36).jpg
24,16165686272.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (37).jpg
25,4920998912.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (38).jpg
26,9694233600.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (39).jpg
27,7911794688.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (40).jpg
28,2894998784.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (41).jpg
29,21201618944.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (42).jpg
30,21732761600.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (43).jpg
31,18980849664.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (44).jpg
32,22843922432.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (5).jpg
33,21786400768.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (6).jpg
34,41472831488.0,"00000-1-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (9).jpg
35,6295846912.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (1).jpg
36,9868044288.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (10).jpg
37,43564343296.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (11).jpg
38,5886027264.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (12).jpg
39,7039229440.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (14).jpg
40,13300761600.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (15).jpg
41,38405230592.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (2).jpg
42,5436430336.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (20).jpg
43,16369588224.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (21).jpg
44,22228822016.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (22).jpg
45,7679348736.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (23).jpg
46,4592306176.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (24).jpg
47,5609365504.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (25).jpg
48,5167283712.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (26).jpg
49,3993069056.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (27).jpg
50,4246765824.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (28).jpg
51,5400709120.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (29).jpg
52,4123067392.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (30).jpg
53,2392906240.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (31).jpg
54,5616490496.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (32).jpg
55,5367816192.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (33).jpg
56,3530580480.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (34).jpg
57,15779486720.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (35).jpg
