,LoRALoss,ImageIndex,name
0,-0.9186832623658646,"00000-1-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",lyriel_v14.safetensors-LoRA-11
1,-0.690705488857447,"00001-2-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",lyriel_v14.safetensors-LoRA-11
2,-0.20920801224677024,"00002-3-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",lyriel_v14.safetensors-LoRA-11
3,-0.7908412711941383,"00003-4-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",lyriel_v14.safetensors-LoRA-11
4,1.5130373230564511,"00004-5-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",lyriel_v14.safetensors-LoRA-11
5,-0.9428213462714478,"00005-6-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",lyriel_v14.safetensors-LoRA-11
6,-1.0238654647986063,"00006-7-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",lyriel_v14.safetensors-LoRA-11
7,-0.9255734381893156,"00007-8-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",lyriel_v14.safetensors-LoRA-11
8,-0.34916336543367016,"00008-9-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",lyriel_v14.safetensors-LoRA-11
9,-0.7146166252510182,"00009-10-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",lyriel_v14.safetensors-LoRA-11
10,-0.558333905045661,"00010-11-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",lyriel_v14.safetensors-LoRA-11
11,-0.8634719816842383,"00011-12-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",lyriel_v14.safetensors-LoRA-11
12,-0.6218588479162938,"00012-13-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",lyriel_v14.safetensors-LoRA-11
13,-1.230988952248558,"00013-14-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",lyriel_v14.safetensors-LoRA-11
14,-0.5981274597107591,"00014-15-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",lyriel_v14.safetensors-LoRA-11
15,-0.8358518422046877,"00015-16-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",lyriel_v14.safetensors-LoRA-11
16,-0.32198416430097354,"00016-17-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",lyriel_v14.safetensors-LoRA-11
17,-0.9853562664656462,"00017-18-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",lyriel_v14.safetensors-LoRA-11
18,0.4716709258818859,"00018-19-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",lyriel_v14.safetensors-LoRA-11
19,-0.8605756501829575,"00019-20-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",lyriel_v14.safetensors-LoRA-11
0,-0.43509173993071576,"00000-1-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",AWPainting 1.1_v1.1.safetensors-LoRA-11
1,-0.2134631495585291,"00001-2-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",AWPainting 1.1_v1.1.safetensors-LoRA-11
2,-0.43319841977160256,"00002-3-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",AWPainting 1.1_v1.1.safetensors-LoRA-11
3,-0.0945013152942837,"00003-4-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",AWPainting 1.1_v1.1.safetensors-LoRA-11
4,-0.6013896630959268,"00004-5-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",AWPainting 1.1_v1.1.safetensors-LoRA-11
5,-0.5340832214456271,"00005-6-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",AWPainting 1.1_v1.1.safetensors-LoRA-11
6,-0.6129710815317448,"00006-7-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",AWPainting 1.1_v1.1.safetensors-LoRA-11
7,-0.33252647779393707,"00007-8-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",AWPainting 1.1_v1.1.safetensors-LoRA-11
8,0.051547378070131496,"00008-9-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",AWPainting 1.1_v1.1.safetensors-LoRA-11
9,-0.5555278589614833,"00009-10-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",AWPainting 1.1_v1.1.safetensors-LoRA-11
10,-0.5596003688236123,"00010-11-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",AWPainting 1.1_v1.1.safetensors-LoRA-11
11,-0.5458403776694055,"00011-12-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",AWPainting 1.1_v1.1.safetensors-LoRA-11
12,-0.09069143522176881,"00012-13-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",AWPainting 1.1_v1.1.safetensors-LoRA-11
13,-0.24328427886458745,"00013-14-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",AWPainting 1.1_v1.1.safetensors-LoRA-11
14,-0.11195786701115622,"00014-15-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",AWPainting 1.1_v1.1.safetensors-LoRA-11
15,-0.6127366273734363,"00015-16-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",AWPainting 1.1_v1.1.safetensors-LoRA-11
16,-0.04448586781924392,"00016-17-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",AWPainting 1.1_v1.1.safetensors-LoRA-11
17,-0.6281024238505146,"00017-18-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",AWPainting 1.1_v1.1.safetensors-LoRA-11
18,-0.12580978887480507,"00018-19-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",AWPainting 1.1_v1.1.safetensors-LoRA-11
19,-0.47473053428517586,"00019-20-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",AWPainting 1.1_v1.1.safetensors-LoRA-11
0,1.458285695922035,"00000-1-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",Moyou_v1020.safetensors-LoRA-11
1,1.7549286140604592,"00001-2-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",Moyou_v1020.safetensors-LoRA-11
2,0.8713949053053677,"00002-3-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",Moyou_v1020.safetensors-LoRA-11
3,0.265413787679193,"00003-4-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",Moyou_v1020.safetensors-LoRA-11
4,1.2259087191914242,"00004-5-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",Moyou_v1020.safetensors-LoRA-11
5,1.8482216255592172,"00005-6-ghibli style, san _(mononoke hime_), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facep.png",Moyou_v1020.safetensors-LoRA-11
