,Image,StyleLoss,name,index
160,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",-0.9640033631901956,AWPainting 1.1_v1.1.safetensors-Style-5,5
161,"00001-2-(lineart art style_1.3),1girl,white background,portrait.png",-0.26488155363141075,AWPainting 1.1_v1.1.safetensors-Style-5,5
162,"00002-3-(lineart art style_1.3),1girl,white background,portrait.png",-0.7730904813240219,AWPainting 1.1_v1.1.safetensors-Style-5,5
163,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",-1.7436187388798947,AWPainting 1.1_v1.1.safetensors-Style-5,5
164,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",-0.6033398929050737,AWPainting 1.1_v1.1.safetensors-Style-5,5
165,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",-0.5836164645921469,AWPainting 1.1_v1.1.safetensors-Style-5,5
166,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",-1.3657118371817902,AWPainting 1.1_v1.1.safetensors-Style-5,5
167,"00007-8-(lineart art style_1.3),1girl,white background,portrait.png",-1.4263431926681789,AWPainting 1.1_v1.1.safetensors-Style-5,5
168,"00008-9-(lineart art style_1.3),1girl,white background,portrait.png",-1.0343993704908585,AWPainting 1.1_v1.1.safetensors-Style-5,5
169,"00009-10-(lineart art style_1.3),1girl,white background,portrait.png",-1.6159401109870526,AWPainting 1.1_v1.1.safetensors-Style-5,5
170,"00010-11-(lineart art style_1.3),1girl,white background,portrait.png",-1.0689888905582552,AWPainting 1.1_v1.1.safetensors-Style-5,5
171,"00011-12-(lineart art style_1.3),1girl,white background,portrait.png",-1.5778880089855318,AWPainting 1.1_v1.1.safetensors-Style-5,5
172,"00012-13-(lineart art style_1.3),1girl,white background,portrait.png",-1.8853292028910233,AWPainting 1.1_v1.1.safetensors-Style-5,5
173,"00013-14-(lineart art style_1.3),1girl,white background,portrait.png",-1.6276193895770135,AWPainting 1.1_v1.1.safetensors-Style-5,5
174,"00014-15-(lineart art style_1.3),1girl,white background,portrait.png",-1.5634537635683095,AWPainting 1.1_v1.1.safetensors-Style-5,5
175,"00015-16-(lineart art style_1.3),1girl,white background,portrait.png",-1.187275190213486,AWPainting 1.1_v1.1.safetensors-Style-5,5
176,"00016-17-(lineart art style_1.3),1girl,white background,portrait.png",-1.6035513162858162,AWPainting 1.1_v1.1.safetensors-Style-5,5
177,"00017-18-(lineart art style_1.3),1girl,white background,portrait.png",-1.7498099768993256,AWPainting 1.1_v1.1.safetensors-Style-5,5
178,"00018-19-(lineart art style_1.3),1girl,white background,portrait.png",-1.862619284633681,AWPainting 1.1_v1.1.safetensors-Style-5,5
179,"00019-20-(lineart art style_1.3),1girl,white background,portrait.png",-1.6541445636265437,AWPainting 1.1_v1.1.safetensors-Style-5,5
180,"00020-21-(lineart art style_1.3),1girl,white background,portrait.png",-0.5031125135113783,AWPainting 1.1_v1.1.safetensors-Style-5,5
181,"00021-22-(lineart art style_1.3),1girl,white background,portrait.png",-1.2066848356748854,AWPainting 1.1_v1.1.safetensors-Style-5,5
182,"00022-23-(lineart art style_1.3),1girl,white background,portrait.png",-1.1743511951989374,AWPainting 1.1_v1.1.safetensors-Style-5,5
183,"00023-24-(lineart art style_1.3),1girl,white background,portrait.png",-1.4346010507244538,AWPainting 1.1_v1.1.safetensors-Style-5,5
